_id,keyword
0,Agronomy
1,Moisture
2,Hydrology
3,Environmental science
4,Dry weight
5,Water content
6,Stomatal conductance
7,Transpiration
8,Irrigation
9,Soil water
10,Canopy
11,Intelligent character recognition
12,Pattern recognition
13,Computer science
14,Feature (computer vision)
15,Document processing
16,Handwriting recognition
17,Optical character recognition
18,Feature extraction
19,Feature (machine learning)
20,Artificial intelligence
21,Intelligent word recognition
22,Delay calculation
23,Timing failure
24,Monte Carlo method
25,Sequential logic
26,Statistical static timing analysis
27,Shortest path problem
28,Algorithm
29,Clock skew
30,Static timing analysis
31,Statistics
32,XML Base
33,World Wide Web
34,XML framework
35,XML Encryption
36,Efficient XML Interchange
37,SGML
38,Programming language
39,Software engineering
40,XML
41,XML validation
42,cXML
43,Virtualization
44,Service level objective
45,Virtual machine
46,Testbed
47,Quality of service
48,Provisioning
49,Resource allocation
50,Web application
51,Operating system
52,Distributed computing
53,Changeover
54,Transport engineering
55,Planner
56,New delhi
57,Public transport
58,Schedule
59,Local bus
60,Engineering
61,Metropolitan area
62,Information system
63,Mobile device
64,MOLAP
65,Online analytical processing
66,Data access
67,Data cube
68,Scalability
69,Client–server model
70,Group communication protocol
71,The Internet
72,Intelligent decision
73,Multiple criteria
74,Intelligent decision support system
75,Support system
76,Decision support system
77,R-CAST
78,Process management
79,Revenue
80,Transparency (graphic)
81,Civil society
82,Corporate governance
83,Economic growth
84,Information revolution
85,Call centre
86,Interactive kiosk
87,Business
88,E-governance
89,Business model
90,Information infrastructure
91,Mobile computing
92,Mobile IP
93,Soft handover
94,Packet loss rate
95,Computer network
96,Real-time computing
97,Router
98,Latency (engineering)
99,Mobile telephony
100,Handover
101,Interleaved memory
102,Computer architecture
103,Uniform memory access
104,Physical address
105,Cache-only memory architecture
106,Memory management
107,Non-uniform memory access
108,Memory map
109,Memory architecture
110,Embedded system
111,Heuristic
112,Microeconomics
113,Purchasing
114,restrict
115,Profit (economics)
116,Emergency procedure
117,Concurrency
118,Pure mathematics
119,Real systems
120,Mathematics
121,Morphism
122,Formal language
123,Fifth-generation programming language
124,Second-generation programming language
125,Comparison of multi-paradigm programming languages
126,Component-based software engineering
127,Software construction
128,Programming language theory
129,Computer programming
130,Software development
131,Health care
132,Population
133,Age distribution
134,Elderly people
135,Operational system
136,Staff management
137,Heuristics
138,Operations management
139,Combinatorial method
140,Rectangle
141,Yen's algorithm
142,Suurballe's algorithm
143,Shortest Path Faster Algorithm
144,Dijkstra's algorithm
145,K shortest path routing
146,Distributive property
147,Information processing
148,Algebra
149,Lattice (order)
150,Closure operator
151,Cardinality
152,Order structure
153,Fuzzy set
154,Fuzzy control system
155,Data science
156,Robot learning
157,Learning sciences
158,Multi-task learning
159,Inductive transfer
160,Action learning
161,Organizational learning
162,Sequence learning
163,Proactive learning
164,Machine learning
165,Middleware
166,Mobile ad hoc network
167,Ad hoc wireless distribution service
168,Adaptive quality of service multi-hop routing
169,Optimized Link State Routing Protocol
170,Wireless ad hoc network
171,Vehicular ad hoc network
172,Mathematical optimization
173,Multicriteria analysis
174,Choquet integral
175,Agrégation
176,Computational complexity theory
177,Bounded function
178,Computer simulation
179,Upper and lower bounds
180,Control theory
181,Filter (signal processing)
182,Linear matrix
183,Discrete time and continuous time
184,Lyapunov functional
185,Linear matrix inequality
186,Filter design
187,HOL
188,Functional programming
189,Logic for Computable Functions
190,Denotational semantics
191,Automated theorem proving
192,Domain theory
193,Recursion
194,Polytope
195,Singular perturbation
196,Sampling (statistics)
197,Riccati equation
198,Robust control
199,Sound installation
200,Visualization
201,Clothing
202,Contact microphone
203,Hop (networking)
204,Multimedia
205,AND gate
206,Random variable
207,Output feedback
208,Data transmission
209,Performance index
210,Lyapunov stability
211,Filtering problem
212,Exponential stability
213,Finite horizon
214,Optimization problem
215,Discrete system
216,Multiplicative noise
217,Stability theory
218,Lyapunov function
219,Nonlinear control
220,Communication channel
221,Bandwidth (signal processing)
222,Expected value
223,Management information systems
224,Web intelligence
225,Knowledge management
226,Internet research
227,Web standards
228,Web application security
229,Debugging
230,Discrete mathematics
231,Combinatorics
232,Association scheme
233,Differential graded algebra
234,Quaternion algebra
235,Filtered algebra
236,Division algebra
237,Cellular algebra
238,Two-element Boolean algebra
239,Algebra representation
240,Software tool
241,Asynchronous communication
242,Cellular automaton
243,Geographic information system
244,Systems engineering
245,ArcObjects
246,Familiar environment
247,Urban planning
248,Predictive modelling
249,Web development
250,Web API
251,Web page
252,Web engineering
253,Web modeling
254,Web 2.0
255,Web service
256,Vibration
257,Acoustics
258,Collective work
259,Audio signal processing
260,Acoustic source localization
261,Cognitive map
262,Rationality
263,Decision support tools
264,Design rationale
265,Ibis
266,Management science
267,Fixed wireless
268,Telecommunications
269,Beauty
270,Wireless local loop
271,Broadband
272,Common value auction
273,Financial market
274,Collusion
275,German
276,Shell (computing)
277,Human–computer interaction
278,T-norm
279,Fuzzy classification
280,Fuzzy logic
281,Fuzzy mathematics
282,Fuzzy subalgebra
283,Metric space
284,Type-2 fuzzy sets and systems
285,Fuzzy number
286,IP exchange
287,Embedded software
288,High-level synthesis
289,Electronic system-level design and verification
290,Transaction-level modeling
291,SystemC
292,Electronic design automation
293,Hardware description language
294,Engineering drawing
295,Ticket
296,Database
297,Scheduling (computing)
298,Satisfiability
299,Decidability
300,Optimizing compiler
301,Theoretical computer science
302,Software
303,Satisfiability modulo theories
304,Publication
305,Constraint satisfaction
306,Propositional calculus
307,Formal verification
308,Cognitive science
309,Syma
310,Symbiotic computing
311,Multi-agent system
312,Ubiquitous computing
313,Cognition
314,Spline (mathematics)
315,Mars Exploration Program
316,Data modeling
